Timestamp,Filename,Violation Type,Confidence
20250506_204203,20250506_204203_20250506_204201_no-vest_conf0.59.jpg,no-vest,0.5859683156013489
20250506_204206,20250506_204206_20250506_204203_no-vest_conf0.59.jpg,no-vest,0.5902070999145508
20250506_204208,20250506_204208_20250506_204206_no-vest_conf0.55.jpg,no-vest,0.5459980964660645
20250506_204210,20250506_204210_20250506_204208_no-vest_conf0.51.jpg,no-vest,0.5110526084899902
20250506_204212,20250506_204212_20250506_204210_no-vest_conf0.52.jpg,no-vest,0.5210681557655334
20250506_204215,20250506_204215_20250506_204213_no-vest_conf0.56.jpg,no-vest,0.5599318742752075
20250506_204217,20250506_204217_20250506_204215_no-vest_conf0.52.jpg,no-vest,0.516746461391449
20250506_204220,20250506_204220_20250506_204218_no-vest_conf0.57.jpg,no-vest,0.5655480623245239
20250506_204222,20250506_204222_20250506_204220_no-vest_conf0.53.jpg,no-vest,0.527284562587738
20250506_204224,20250506_204224_20250506_204222_no-vest_conf0.52.jpg,no-vest,0.5180131793022156
20250506_204227,20250506_204227_20250506_204224_no-vest_conf0.53.jpg,no-vest,0.5277716517448425
20250506_204229,20250506_204229_20250506_204227_no-vest_conf0.61.jpg,no-vest,0.6089236736297607
20250506_204231,20250506_204231_20250506_204229_no-vest_conf0.67.jpg,no-vest,0.6663562059402466
20250506_204233,20250506_204233_20250506_204231_no-vest_conf0.65.jpg,no-vest,0.6517787575721741
20250506_204236,20250506_204236_20250506_204234_no-vest_conf0.55.jpg,no-vest,0.5524629950523376
20250506_204238,20250506_204238_20250506_204236_no-vest_conf0.62.jpg,no-vest,0.6172668933868408
20250506_204240,20250506_204240_20250506_204238_no-vest_conf0.61.jpg,no-vest,0.6108596324920654
20250506_204243,20250506_204243_20250506_204240_no-vest_conf0.63.jpg,no-vest,0.6267744302749634
20250506_204245,20250506_204245_20250506_204243_no-vest_conf0.55.jpg,no-vest,0.5509377121925354
20250506_204247,20250506_204247_20250506_204245_no-vest_conf0.62.jpg,no-vest,0.6183983683586121
20250506_204249,20250506_204249_20250506_204247_no-vest_conf0.58.jpg,no-vest,0.5758397579193115
20250506_204252,20250506_204252_20250506_204250_no-vest_conf0.63.jpg,no-vest,0.6349411010742188
20250506_204254,20250506_204254_20250506_204252_no-vest_conf0.67.jpg,no-vest,0.6676648259162903
20250506_204256,20250506_204256_20250506_204254_no-vest_conf0.62.jpg,no-vest,0.6150169372558594
20250506_204259,20250506_204259_20250506_204257_no-vest_conf0.63.jpg,no-vest,0.6257407665252686
20250506_204301,20250506_204301_20250506_204259_no-vest_conf0.52.jpg,no-vest,0.5245103240013123
20250506_204303,20250506_204303_20250506_204301_no-vest_conf0.58.jpg,no-vest,0.579747200012207
20250506_204306,20250506_204306_20250506_204303_no-vest_conf0.65.jpg,no-vest,0.6476954221725464
20250506_204308,20250506_204308_20250506_204306_no-vest_conf0.51.jpg,no-vest,0.5105983018875122
20250506_204311,20250506_204311_20250506_204309_no-vest_conf0.58.jpg,no-vest,0.5829280018806458
20250506_213519,20250506_213519_20250506_213517_no-vest_conf0.78.jpg,no-vest,0.7810077667236328
